shift_no_1,site_code_1,next_site_code_1,shift_no_2,site_code_2,next_site_code_2
230903017735930,530VH,024WH,230903017735930,530VH,024WH
230903017736085,539WH,022WH,230903017736085,539WH,022WH
230903017736159,579WH,029WH,230903017736159,579WH,029WH
230903017736170,579WH,028WH,230903017736170,579WH,028WH
230903017736199,021WW,027WK,230903017736199,021WW,027WK
230903017736502,551WH,539WH,230903017736502,551WH,539WH
230903017736507,551WH,027WK,230903017736507,551WH,027WK
230903017736586,575WK,551WH,230903017736586,575WK,551WH
230903017736586,575WK,553WH,230903017736586,575WK,553WH
230903017736647,574WG,579WH,230903017736647,574WG,579WH
230903017736678,574WG,021WW,230903017736678,574WG,021WW
230903017737564,411WH,531WH,230903017737564,411WH,531WH
230903017737945,536WH,871WH,230903017737945,536WH,871WH
230903017738144,536WH,022WH,230903017738144,536WH,022WH
230903017738155,536WH,029WH,230903017738155,536WH,029WH
230903017738165,536WH,351WF,230903017738165,536WH,351WF
230903017738202,536WH,024WH,230903017738202,536WH,024WH
230903017738213,536WH,029WH,230903017738213,536WH,029WH
230903017738219,536WH,510WH,230903017738219,536WH,510WH
230903017738298,536WH,022WH,230903017738298,536WH,022WH
230903017738402,536WH,027WK,230903017738402,536WH,027WK
230903017739235,536WH,551WH,230903017739235,536WH,551WH
230903017739296,517WH,029WH,230903017739296,517WH,029WH
230903017739296,517WH,371WH,230903017739296,517WH,371WH
230903017739552,517WH,791WH,230903017739552,517WH,791WH
230903017739572,516WH,517WH,230903017739572,516WH,517WH
230903017739651,516WH,571XF,230903017739651,516WH,571XF
230903017740675,311WH,027WK,230903017740675,311WH,027WK
230903017741183,312WH,311WH,230903017741183,312WH,311WH
230903017742555,510WH,021WW,230903017742555,510WH,021WW
230903017742669,021WW,539WH,230903017742669,021WW,539WH
230903017743178,577WH,591WH,230903017743178,577WH,591WH
230903017743295,752WH,663WH,230903017743295,752WH,663WH
230903017743426,595WH,027WK,230903017743426,595WH,027WK
230903017743443,595WH,029WH,230903017743443,595WH,029WH
230903017743547,595WH,571XF,230903017743547,595WH,571XF
230903017743660,595WH,791WH,230903017743660,595WH,791WH
230903017743718,513WH,536WH,230903017743718,513WH,536WH
230903017744017,553WH,558WH,230903017744017,553WH,558WH
230903017744024,S731WJ,871WH,230903017744024,S731WJ,871WH
230903017744187,595WH,371WH,230903017744187,595WH,371WH
230903017744436,553WH,571XF,230903017744436,553WH,571XF
230903017744476,595WH,022WH,230903017744476,595WH,022WH
230903017745561,575WK,539WH,230903017745561,575WK,539WH
230903017749865,351WF,029WH,230903017749865,351WF,029WH
230903017761798,551WH,558WH,230903017761798,551WH,558WH
230903017765651,553WH,510WH,230903017765651,553WH,510WH
230903017773430,510WH,515VH,230903017773430,510WH,515VH
230903017774342,510WH,517WH,230903017774342,510WH,517WH
230903017774350,510WH,516WH,230903017774350,510WH,516WH
230903017774674,791WH,571XF,230903017774674,791WH,571XF
230903017774758,510WH,595WH,230903017774758,510WH,595WH
230903017775062,536WH,021WW,230903017775062,536WH,021WW
230903017775385,510WH,025WH,230903017775385,510WH,025WH
230903017780987,595WH,020WS,230903017780987,595WH,020WS
230903017781619,579WH,574WG,230903017781619,579WH,574WG
2309031126841859,757WL,752WH,2309031126841859,757WL,752WH
2309031127134620,010WK,024WH,2309031127134620,010WK,024WH
2309031127154529,020WK,510WH,2309031127154529,020WK,510WH
2309031127190611,010WK,020WS,2309031127190611,010WK,020WS
2309031127203312,010WK,431WH,2309031127203312,010WK,431WH
2309031127203312,010WK,451WH,2309031127203312,010WK,451WH
2309031127259880,010WK,351WF,2309031127259880,010WK,351WF
2309031127317127,022WH,315VH,2309031127317127,022WH,315VH
2309031127322480,023WH,871WH,2309031127322480,023WH,871WH
2309031127338385,021WW,027WK,2309031127338385,021WW,027WK
2309031127390196,021WW,371WH,2309031127390196,021WW,371WH
2309031127393983,022WH,315VH,2309031127393983,022WH,315VH
2309031127421234,022WH,315VH,2309031127421234,022WH,315VH
2309031127426191,023WH,028WH,2309031127426191,023WH,028WH
2309031127473615,022WH,431WH,2309031127473615,022WH,431WH
2309031127473615,022WH,451WH,2309031127473615,022WH,451WH
2309031127495675,022WH,024WH,2309031127495675,022WH,024WH
2309031127518320,021WW,024WH,2309031127518320,021WW,024WH
2309031127527843,023WH,028WH,2309031127527843,023WH,028WH
2309031127548658,022WH,024WH,2309031127548658,022WH,024WH
2309031127592138,021WW,532WH,2309031127592138,021WW,532WH
2309031127592164,021WW,7311WJ,2309031127592164,021WW,7311WJ
2309031127596779,022WH,315VH,2309031127596779,022WH,315VH
2309031127596869,022WH,510WH,2309031127596869,022WH,510WH
2309031127646175,022WH,028WH,2309031127646175,022WH,028WH
2309031127646535,S022WJ,871WH,2309031127646535,S022WJ,871WH
2309031127655642,024WH,411WH,2309031127655642,024WH,411WH
2309031127671231,022WH,451WH,2309031127671231,022WH,451WH
2309031127679553,024WH,536WH,2309031127679553,024WH,536WH
2309031127684541,024WH,769WK,2309031127684541,024WH,769WK
2309031127704713,029WH,7311WJ,2309031127704713,029WH,7311WJ
2309031127704833,029WH,931WH,2309031127704833,029WH,931WH
2309031127704893,029WH,951WH,2309031127704893,029WH,951WH
2309031127704923,029WH,991WH,2309031127704923,029WH,991WH
2309031127709331,024WH,311WH,2309031127709331,024WH,311WH
2309031127729737,029WH,971WH,2309031127729737,029WH,971WH
2309031127729797,029WH,991WH,2309031127729797,029WH,991WH
2309031127744778,027WH,431WH,2309031127744778,027WH,431WH
2309031127751859,028WH,871WH,2309031127751859,028WH,871WH
2309031127757476,029WH,931WH,2309031127757476,029WH,931WH
2309031127757506,029WH,951WH,2309031127757506,029WH,951WH
2309031127761300,024WH,531WH,2309031127761300,024WH,531WH
2309031127787068,024WH,510WH,2309031127787068,024WH,510WH
2309031127807841,029WH,951WH,2309031127807841,029WH,951WH
2309031127807961,029WH,991WH,2309031127807961,029WH,991WH
2309031127818429,025WH,021WW,2309031127818429,025WH,021WW
2309031127834796,029WH,023WH,2309031127834796,029WH,023WH
2309031127834938,029WH,595WH,2309031127834938,029WH,595WH
2309031127834938,029WH,791WH,2309031127834938,029WH,791WH
2309031127835028,029WH,931WH,2309031127835028,029WH,931WH
2309031127838903,024WH,411WH,2309031127838903,024WH,411WH
2309031127838993,024WH,411WH,2309031127838993,024WH,411WH
2309031127842905,025WH,510WH,2309031127842905,025WH,510WH
2309031127854733,028WH,023WH,2309031127854733,028WH,023WH
2309031127855093,028WH,871WH,2309031127855093,028WH,871WH
2309031127855123,028WH,871WH,2309031127855123,028WH,871WH
2309031127864918,024WH,371WH,2309031127864918,024WH,371WH
2309031127868743,025WH,571XF,2309031127868743,025WH,571XF
2309031127881817,028WH,871WH,2309031127881817,028WH,871WH
2309031127881847,028WH,871WH,2309031127881847,028WH,871WH
2309031127886841,029WH,021WW,2309031127886841,029WH,021WW
2309031127886841,029WH,025WH,2309031127886841,029WH,025WH
2309031127908230,029WH,025WH,2309031127908230,029WH,025WH
2309031127908706,029WH,951WH,2309031127908706,029WH,951WH
2309031127931046,028WH,023WH,2309031127931046,028WH,023WH
2309031127966239,024WH,028WH,2309031127966239,024WH,028WH
2309031127966269,024WH,411WH,2309031127966269,024WH,411WH
2309031127982460,028WH,871WH,2309031127982460,028WH,871WH
2309031128009015,029WH,931WH,2309031128009015,029WH,931WH
2309031128009045,029WH,951WH,2309031128009045,029WH,951WH
2309031128009075,029WH,991WH,2309031128009075,029WH,991WH
2309031128009105,029WH,991WH,2309031128009105,029WH,991WH
2309031128037253,029WH,931WH,2309031128037253,029WH,931WH
2309031128037313,029WH,971WH,2309031128037313,029WH,971WH
2309031128041969,025WH,029WH,2309031128041969,025WH,029WH
2309031128053363,028WH,851WH,2309031128053363,028WH,851WH
2309031128058183,029WH,028WH,2309031128058183,029WH,028WH
2309031128058265,029WH,351WF,2309031128058265,029WH,351WF
2309031128058445,029WH,991WH,2309031128058445,029WH,991WH
2309031128082102,311WH,551WH,2309031128082102,311WH,551WH
2309031128083551,312WH,371WH,2309031128083551,312WH,371WH
2309031128093143,311WH,027WK,2309031128093143,311WH,027WK
2309031128093143,311WH,371WH,2309031128093143,311WH,371WH
2309031128094574,312WH,025WH,2309031128094574,312WH,025WH
2309031128094574,312WH,573XF,2309031128094574,312WH,573XF
2309031128107843,311WH,351WF,2309031128107843,311WH,351WF
2309031128107903,311WH,510WH,2309031128107903,311WH,510WH
2309031128107933,311WH,595WH,2309031128107933,311WH,595WH
2309031128114520,316WH,757WL,2309031128114520,316WH,757WL
2309031128114550,316WH,791WH,2309031128114550,316WH,791WH
2309031128115942,318VH,029WH,2309031128115942,318VH,029WH
2309031128115972,318VH,027WK,2309031128115972,318VH,027WK
2309031128118642,311WH,517WH,2309031128118642,311WH,517WH
2309031128123548,316WH,028WH,2309031128123548,316WH,028WH
2309031128125256,318VH,371WH,2309031128125256,318VH,371WH
2309031128125286,318VH,757WL,2309031128125286,318VH,757WL
2309031128134001,311WH,024WH,2309031128134001,311WH,024WH
2309031128135549,312WH,029WH,2309031128135549,312WH,029WH
2309031128140172,318VH,510WH,2309031128140172,318VH,510WH
2309031128147370,311WH,029WH,2309031128147370,311WH,029WH
2309031128149075,312WH,757WL,2309031128149075,312WH,757WL
2309031128152654,316WH,595WH,2309031128152654,316WH,595WH
2309031128154468,318VH,022WH,2309031128154468,318VH,022WH
2309031128154498,318VH,595WH,2309031128154498,318VH,595WH
2309031128159647,311WH,757WL,2309031128159647,311WH,757WL
2309031128166642,318VH,573XF,2309031128166642,318VH,573XF
2309031128168741,029WH,991WH,2309031128168741,029WH,991WH
2309031128173779,311WH,022WH,2309031128173779,311WH,022WH
2309031128187877,318VH,551WH,2309031128187877,318VH,551WH
2309031128209724,311WH,573XF,2309031128209724,311WH,573XF
2309031128209754,311WH,7311WJ,2309031128209754,311WH,7311WJ
2309031128211487,312WH,022WH,2309031128211487,312WH,022WH
2309031128224343,311WH,010WS,2309031128224343,311WH,010WS
2309031128224373,311WH,028WH,2309031128224373,311WH,028WH
2309031128224493,311WH,769WK,2309031128224493,311WH,769WK
2309031128224523,311WH,771WH,2309031128224523,311WH,771WH
2309031128224523,S771WJ,771WH,2309031128224523,S771WJ,771WH
2309031128224553,311WH,791WH,2309031128224553,311WH,791WH
2309031128231514,318VH,769WK,2309031128231514,318VH,769WK
2309031128234151,311WH,023WH,2309031128234151,311WH,023WH
2309031128234331,311WH,531WH,2309031128234331,311WH,531WH
2309031128299108,351WF,510WH,2309031128299108,351WF,510WH
2309031128299108,351WF,571XF,2309031128299108,351WF,571XF
2309031128324115,351WF,022WH,2309031128324115,351WF,022WH
2309031128324343,351WF,311WH,2309031128324343,351WF,311WH
2309031128324343,351WF,531WH,2309031128324343,351WF,531WH
2309031128496332,431WH,024WH,2309031128496332,431WH,024WH
2309031128578213,451WH,029WH,2309031128578213,451WH,029WH
2309031128796407,510WH,025WH,2309031128796407,510WH,025WH
2309031128796661,510WH,515VH,2309031128796661,510WH,515VH
2309031128815999,451WH,024WH,2309031128815999,451WH,024WH
2309031128826550,510WH,021WW,2309031128826550,510WH,021WW
2309031128826588,510WH,024WH,2309031128826588,510WH,024WH
2309031128827204,510WH,591WH,2309031128827204,510WH,591WH
2309031128863614,451WH,024WH,2309031128863614,451WH,024WH
2309031128863614,451WH,431WH,2309031128863614,451WH,431WH
2309031128874389,510WH,595WH,2309031128874389,510WH,595WH
2309031128908269,510WH,514WH,2309031128908269,510WH,514WH
2309031128921229,514WH,551WH,2309031128921229,514WH,551WH
2309031128923707,516WH,517WH,2309031128923707,516WH,517WH
2309031128923737,516WH,551WH,2309031128923737,516WH,551WH
2309031128930368,510WH,514WH,2309031128930368,510WH,514WH
2309031128938572,512WH,536WH,2309031128938572,512WH,536WH
2309031128938620,512WH,573XF,2309031128938620,512WH,573XF
