area_code,PRO_NAME,LEVEL_2_TYPE,priority_no,inc_unit,LEVEL_1_TYPE,LEVEL_3_TYPE
316Y,蔬菜项目,山菜,5,万元,生鲜果蔬类,
579Y,其他常温水果项目,草莓,16,万元,生鲜果蔬类,
021Y,葡萄项目,葡萄,7,万元,生鲜果蔬类,
021Y,海鲜水产项目,牡蛎,2,万元,海鲜水产类,
022Y,枣项目,干枣,16,万元,南北干货类,
760Y,瓜项目,甜瓜,21,万元,生鲜果蔬类,
571Y,蟹项目,蟹类,9,万元,海鲜水产类,
851Y,蓝莓项目,蓝莓,22,万元,生鲜果蔬类,
851Y,海鲜水产项目,牡蛎,25,万元,海鲜水产类,
898Y,海鲜水产项目,牡蛎,5,万元,海鲜水产类,
027Y,粽子项目,粽子,16,万元,假日类,
731Y,花卉苗木项目,苗木,12,万元,花卉苗木类,
311Y,其他常温水果项目,板栗,24,万元,生鲜果蔬类,
579Y,蔬菜项目,萝卜,4,万元,生鲜果蔬类,
579Y,粮油副食项目,花椒,9,万元,粮油米面调料类,
024Y,海鲜水产项目,鲅鱼,1,万元,海鲜水产类,
532Y,海鲜水产项目,海参,1,万元,海鲜水产类,
592Y,蔬菜项目,萝卜,8,万元,生鲜果蔬类,
592Y,其他常温水果项目,菠萝,5,万元,生鲜果蔬类,
517Y,蔬菜项目,椿芽,6,万元,生鲜果蔬类,
760Y,滋补品项目,中药材,8,万元,其他,
871Y,肉类熟食项目,鸡肉,9,万元,生鲜肉类,
757Y,其他常温水果项目,菠萝蜜,8,万元,生鲜果蔬类,
020Y,中秋项目,月饼,3,万元,假日类,
851Y,粮油副食项目,黄豆,10,万元,粮油米面调料类,
898Y,海鲜水产项目,其他海鲜水产,5,万元,海鲜水产类,
027Y,其他常温水果项目,板栗,7,万元,生鲜果蔬类,
027Y,其他常温水果项目,枇杷,7,万元,生鲜果蔬类,
579Y,干货项目,核桃,17,万元,南北干货类,
025Y,蔬菜项目,萝卜,5,万元,生鲜果蔬类,
592Y,蔬菜项目,食用菌,8,万元,生鲜果蔬类,
991Y,石榴项目,石榴,13,万元,生鲜果蔬类,
752Y,活体项目,观赏类,23,万元,活体类,
551Y,蓝莓项目,蓝莓,20,万元,生鲜果蔬类,
010Y,蔬菜项目,山药,13,万元,生鲜果蔬类,
531Y,粽子项目,粽子,18,万元,假日类,
579Y,肉类熟食项目,鸡肉,2,万元,生鲜肉类,
574Y,蔬菜项目,香菇,7,万元,生鲜果蔬类,
592Y,其他常温水果项目,西梅,5,万元,生鲜果蔬类,
991Y,桃项目,水蜜桃,9,万元,生鲜果蔬类,
760Y,枣项目,鲜枣,23,万元,生鲜果蔬类,
760Y,海鲜水产项目,牡蛎,2,万元,海鲜水产类,
595Y,活体项目,虫类,21,万元,活体类,
351Y,活体项目,禽类,22,万元,活体类,
769Y,海鲜水产项目,其他海鲜水产,8,万元,海鲜水产类,
851Y,干货项目,核桃,11,万元,南北干货类,
027Y,蔬菜项目,香菇,2,万元,生鲜果蔬类,
579Y,其他常温水果项目,西梅,16,万元,生鲜果蔬类,
471Y,花卉苗木项目,花木盆景,3,万元,花卉苗木类,
351Y,蔬菜项目,红薯,10,万元,生鲜果蔬类,
510Y,其他常温水果项目,蓝莓,5,万元,生鲜果蔬类,
752Y,干货项目,坚果,10,万元,南北干货类,
752Y,猕猴桃项目,猕猴桃,21,万元,生鲜果蔬类,
010Y,肉类熟食项目,鸡肉,9,万元,生鲜肉类,
010Y,梨项目,梨,32,万元,生鲜果蔬类,
010Y,花卉苗木项目,种子,14,万元,花卉苗木类,
591Y,花卉苗木项目,花木盆景,9,万元,花卉苗木类,
316Y,蟹项目,青蟹,7,万元,海鲜水产类,
579Y,蔬菜项目,水果玉米,4,万元,生鲜果蔬类,
532Y,蔬菜项目,食用菌,5,万元,生鲜果蔬类,
592Y,其他常温水果项目,桔橙,5,万元,生鲜果蔬类,
592Y,花卉苗木项目,鲜花,4,万元,花卉苗木类,
029Y,干货项目,参产品类,5,万元,南北干货类,
