area_code,PRO_NAME,LEVEL_2_TYPE,inc_unit,LEVEL_1_TYPE,LEVEL_3_TYPE
023Y,茶叶项目,茶类,,副食干货类,罗汉果
027Y,海鲜水产项目,海鲜水产,,生鲜类,螺类
027Y,常温水果项目,生鲜水果,,生鲜类,木瓜
029Y,预制菜项目,熟食类,,副食干货类,凉皮
316Y,花卉苗木项目,绿植园艺,万元,农业生产,苗木
316Y,常温水果项目,生鲜水果,,生鲜类,牛油果
351Y,蔬菜项目,生鲜蔬菜,,生鲜类,鸡头米
371Y,常温水果项目,生鲜水果,,生鲜类,椰子
431Y,蔬菜项目,生鲜蔬菜,,生鲜类,木耳
431Y,常温水果项目,生鲜水果,,生鲜类,覆盆莓
431Y,常温水果项目,生鲜水果,,生鲜类,甘蔗
431Y,茶叶项目,茶类,,副食干货类,花茶
431Y,茶叶项目,茶类,,副食干货类,龙井
451Y,肉类熟食项目,生鲜蛋品,,生鲜类,鹅蛋
471Y,预制菜项目,熟食类,,副食干货类,熟食海鲜
510Y,预制菜项目,熟食类,,副食干货类,腊味腊肉
510Y,茶叶项目,中药材,,医药保健,石斛/枫斗
512Y,蔬菜项目,生鲜蔬菜,,生鲜类,洋葱
513Y,蔬菜项目,生鲜蔬菜,,生鲜类,南瓜
513Y,龙虾项目,海鲜水产,万元,生鲜类,龙虾
513Y,粮油副食项目,粮油调味,万元,副食干货类,五谷杂粮
517Y,蔬菜项目,生鲜蔬菜,,生鲜类,黄瓜
531Y,肉类熟食项目,生鲜肉类,,生鲜类,其它鲜肉
531Y,常温水果项目,生鲜水果,,生鲜类,木瓜
531Y,茶叶项目,茶类,,副食干货类,陈皮
532Y,月饼项目,月饼类,,副食干货类,流心奶黄月饼
536Y,常温水果项目,生鲜水果,,生鲜类,红毛丹
536Y,常温水果项目,生鲜水果,,生鲜类,莲雾/黑金刚莲雾
551Y,蔬菜项目,生鲜蔬菜,,生鲜类,韭菜
571Y,预制菜项目,熟食类,,副食干货类,熟食蛋类
574Y,滋补品项目,中药材,,医药保健,枸杞
579Y,常温水果项目,生鲜水果,,生鲜类,人参果
591Y,预制菜项目,熟食类,,副食干货类,凉拌菜
591Y,肉类熟食项目,生鲜肉类,,生鲜类,鸡肉
591Y,肉类熟食项目,生鲜肉类,,生鲜类,蛇肉
592Y,蔬菜项目,生鲜蔬菜,,生鲜类,银耳
595Y,海鲜水产项目,海鲜水产,,生鲜类,鲍鱼
595Y,常温水果项目,生鲜水果,,生鲜类,无花果
755Y,滋补品项目,保健滋补,,医药保健,燕窝
757Y,常温水果项目,生鲜水果,,生鲜类,柠檬
760Y,常温水果项目,生鲜水果,,生鲜类,柿子
771Y,预制菜项目,休闲食品,,副食干货类,自热食品
771Y,海鲜水产项目,海鲜水产,,生鲜类,生蚝
851Y,常温水果项目,生鲜水果,,生鲜类,蔓越莓
898Y,茶叶项目,茶类,,副食干货类,陈皮
931Y,海鲜水产项目,海鲜水产,,生鲜类,其它海鲜
020Y,蔬菜项目,生鲜蔬菜,,生鲜类,茄子豆角
020Y,桔橙项目,生鲜水果,,生鲜类,桔子/橘子
020Y,常温水果项目,生鲜水果,,生鲜类,青梅
022Y,蟹项目,蟹类,,生鲜类,梭子蟹
022Y,蔬菜项目,生鲜蔬菜,,生鲜类,木耳
022Y,蔬菜项目,生鲜蔬菜,,生鲜类,银耳
027Y,桔橙项目,生鲜水果,万元,生鲜类,橙子
028Y,滋补品项目,保健滋补,,医药保健,阿胶
028Y,蔬菜项目,生鲜蔬菜,,生鲜类,西红柿/番茄
311Y,蔬菜项目,生鲜蔬菜,,生鲜类,冰草
311Y,肉类熟食项目,生鲜肉类,,生鲜类,驴肉
311Y,海鲜水产项目,海鲜水产,,生鲜类,刀鱼
316Y,蟹项目,蟹类,,生鲜类,梭子蟹
316Y,禽鱼项目,活体类,,生鲜类,观赏类
371Y,葡萄项目,生鲜水果,万元,生鲜类,红提/葡萄
431Y,蔬菜项目,生鲜蔬菜,,生鲜类,萝卜
451Y,干货项目,饮料冲调,,副食干货类,咖啡/奶茶
451Y,常温水果项目,生鲜水果,,生鲜类,菠萝蜜
513Y,蔬菜项目,生鲜蔬菜,,生鲜类,土豆
513Y,海鲜水产项目,海鲜水产,,生鲜类,鲍鱼
513Y,常温水果项目,生鲜水果,,生鲜类,无花果
531Y,常温水果项目,生鲜水果,万元,生鲜类,百香果
531Y,参茸项目,中药材,,医药保健,鹿茸
532Y,常温水果项目,生鲜水果,,生鲜类,柿子
532Y,参茸项目,中药材,,医药保健,人参
536Y,月饼项目,月饼类,,副食干货类,普通月饼
536Y,干货项目,干货,万元,副食干货类,蔬菜干货
551Y,蔬菜项目,生鲜蔬菜,,生鲜类,香菇
551Y,牛羊肉项目,生鲜肉类,,生鲜类,牛排
571Y,肉类熟食项目,生鲜肉类,,生鲜类,猪肉
571Y,茶叶项目,茶类,,副食干货类,藏茶/老茶
591Y,茶叶项目,茶类,,副食干货类,黑茶
592Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲子莲蓬
592Y,肉类熟食项目,生鲜肉类,,生鲜类,蝉蛹
595Y,常温水果项目,生鲜水果,,生鲜类,槟榔
752Y,蟹项目,蟹类,,生鲜类,面包蟹
752Y,牛羊肉项目,生鲜肉类,,生鲜类,牛杂
757Y,蔬菜项目,生鲜蔬菜,,生鲜类,韭菜
760Y,蔬菜项目,生鲜蔬菜,,生鲜类,其它新鲜蔬菜
791Y,肉类熟食项目,生鲜肉类,,生鲜类,兔肉
791Y,常温水果项目,生鲜水果,,生鲜类,覆盆莓
791Y,茶叶项目,茶类,,副食干货类,龙井
851Y,禽鱼项目,活体类,,生鲜类,活体
871Y,牛羊肉项目,生鲜肉类,,生鲜类,牛杂
898Y,常温水果项目,生鲜水果,,生鲜类,木瓜
931Y,蔬菜项目,生鲜蔬菜,,生鲜类,冰草
931Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲藕/藕带
991Y,海鲜水产项目,海鲜水产,,生鲜类,海参
010Y,月饼项目,月饼类,,副食干货类,肉类月饼
020Y,茶叶项目,茶类,,副食干货类,绿茶
021Y,常温水果项目,生鲜水果,,生鲜类,山竹
022Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲子莲蓬
022Y,蔬菜项目,生鲜蔬菜,,生鲜类,萝卜
023Y,蔬菜项目,生鲜蔬菜,,生鲜类,菊苣
023Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸡蛋
023Y,其他生鲜项目,生鲜食品,万元,生鲜类,其它生鲜食品
024Y,蔬菜项目,生鲜蔬菜,,生鲜类,萝卜
024Y,花卉苗木项目,绿植园艺,万元,农业生产,苗木
025Y,常温水果项目,生鲜水果,,生鲜类,山楂果
027Y,肉类熟食项目,生鲜肉类,,生鲜类,蛙肉
028Y,预制菜项目,休闲食品,,副食干货类,自热食品
316Y,蔬菜项目,生鲜蔬菜,,生鲜类,苦瓜
316Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲子莲蓬
371Y,其他生鲜项目,生鲜食品,万元,生鲜类,其它生鲜食品
371Y,海鲜水产项目,海鲜水产,,生鲜类,海兔子
431Y,肉类熟食项目,生鲜肉类,,生鲜类,兔肉
451Y,蔬菜项目,生鲜蔬菜,,生鲜类,葫芦
451Y,肉类熟食项目,生鲜肉类,,生鲜类,兔肉
451Y,茶叶项目,茶类,,副食干货类,龙井
471Y,牛羊肉项目,生鲜肉类,,生鲜类,羊肉
517Y,预制菜项目,熟食类,,副食干货类,熟食菜品
531Y,肉类熟食项目,生鲜肉类,,生鲜类,鹅肉
531Y,常温水果项目,生鲜水果,,生鲜类,鲜核桃
532Y,茶叶项目,茶类,,副食干货类,茶叶
536Y,月饼项目,月饼类,,副食干货类,流心奶黄月饼
551Y,预制菜项目,熟食类,,副食干货类,卤味
551Y,肉类熟食项目,生鲜蛋品,,生鲜类,其它蛋类
571Y,蔬菜项目,生鲜蔬菜,,生鲜类,玉米
579Y,粽子项目,熟食类,万元,副食干货类,粽子
595Y,蔬菜项目,生鲜蔬菜,,生鲜类,苦瓜
595Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲子莲蓬
731Y,肉类熟食项目,生鲜肉类,,生鲜类,狗肉
755Y,常温水果项目,生鲜水果,,生鲜类,山楂果
757Y,蔬菜项目,生鲜蔬菜,,生鲜类,香菇
757Y,常温水果项目,生鲜水果,,生鲜类,蓝靛果
769Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲子莲蓬
769Y,海鲜水产项目,海鲜水产,,生鲜类,藻类
769Y,茶叶项目,茶类,万元,副食干货类,白茶
791Y,牛羊肉项目,生鲜肉类,,生鲜类,羊排
851Y,滋补品项目,饮料冲调,万元,副食干货类,蜂蜜
871Y,预制菜项目,熟食类,,副食干货类,熟食菜品
898Y,蔬菜项目,生鲜蔬菜,,生鲜类,菊苣
898Y,常温水果项目,生鲜水果,,生鲜类,蓝靛果
898Y,茶叶项目,茶类,,副食干货类,罗汉果
010Y,蔬菜项目,生鲜蔬菜,,生鲜类,花菜
010Y,蔬菜项目,生鲜蔬菜,,生鲜类,折耳根
010Y,常温水果项目,生鲜水果,,生鲜类,黄皮果
021Y,蔬菜项目,生鲜蔬菜,,生鲜类,冬瓜
021Y,茶叶项目,茶类,,副食干货类,红茶
022Y,常温水果项目,生鲜水果,,生鲜类,牛油果
023Y,常温水果项目,生鲜水果,,生鲜类,椰子
024Y,常温水果项目,生鲜水果,,生鲜类,槟榔
027Y,常温水果项目,生鲜水果,万元,生鲜类,百香果
028Y,月饼项目,月饼类,,副食干货类,肉类月饼
028Y,常温水果项目,生鲜水果,,生鲜类,菠萝蜜
351Y,常温水果项目,生鲜水果,,生鲜类,柿子
371Y,蔬菜项目,生鲜蔬菜,,生鲜类,菊苣
431Y,禽鱼项目,活体类,,生鲜类,禽类
451Y,月饼项目,月饼类,万元,副食干货类,冰皮月饼
451Y,牛羊肉项目,生鲜肉类,,生鲜类,羊排
510Y,海鲜水产项目,海鲜水产,,生鲜类,贝类
513Y,蔬菜项目,生鲜蔬菜,,生鲜类,马蹄
531Y,肉类熟食项目,生鲜肉类,,生鲜类,鸭肉
532Y,月饼项目,月饼类,,副食干货类,普通月饼
571Y,牛羊肉项目,生鲜肉类,,生鲜类,羊骨
571Y,参茸项目,干货,万元,副食干货类,鹿产品
574Y,肉类熟食项目,生鲜肉类,,生鲜类,猪肉
574Y,牛羊肉项目,生鲜肉类,,生鲜类,羊骨
577Y,蔬菜项目,休闲食品,万元,副食干货类,板栗
591Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸽子蛋/鹌鹑蛋
731Y,常温水果项目,生鲜水果,,生鲜类,蛋黄果
757Y,预制菜项目,熟食类,,副食干货类,香肠火腿
757Y,茶叶项目,茶类,,副食干货类,罗汉果
760Y,滋补品项目,中药材,,医药保健,鹿血
760Y,蔬菜项目,生鲜蔬菜,,生鲜类,菜苗
769Y,常温水果项目,生鲜水果,,生鲜类,槟榔
771Y,滋补品项目,中药材,,医药保健,灵芝
791Y,滋补品项目,保健滋补,,医药保健,阿胶
791Y,月饼项目,月饼类,万元,副食干货类,冰皮月饼
851Y,预制菜项目,熟食类,,副食干货类,腊味腊肉
871Y,茶叶项目,茶类,,副食干货类,黄茶
931Y,海鲜水产项目,海鲜水产,,生鲜类,虾类
010Y,蔬菜项目,生鲜蔬菜,,生鲜类,薄荷
020Y,肉类熟食项目,生鲜肉类,,生鲜类,鸽子肉
022Y,蔬菜项目,生鲜蔬菜,,生鲜类,苦瓜
023Y,海鲜水产项目,海鲜水产,,生鲜类,甲鱼
023Y,常温水果项目,生鲜水果,,生鲜类,橄榄
024Y,茶叶项目,茶类,万元,副食干货类,白茶
025Y,预制菜项目,熟食类,,副食干货类,熟食菜品
028Y,蔬菜项目,生鲜蔬菜,,生鲜类,花菜
028Y,肉类熟食项目,生鲜蛋品,,生鲜类,鹅蛋
311Y,禽鱼项目,活体类,万元,生鲜类,虫类
311Y,海鲜水产项目,海鲜水产,,生鲜类,虾类
316Y,蔬菜项目,生鲜蔬菜,,生鲜类,萝卜
431Y,禽鱼项目,活体类,,生鲜类,观赏类
451Y,滋补品项目,保健滋补,,医药保健,阿胶
451Y,禽鱼项目,活体类,,生鲜类,禽类
471Y,滋补品项目,中药材,,医药保健,其它中药材
513Y,蔬菜项目,生鲜蔬菜,,生鲜类,苦瓜
513Y,海鲜水产项目,生鲜蔬菜,,生鲜类,海带
517Y,蟹项目,蟹类,,生鲜类,面包蟹
517Y,牛羊肉项目,生鲜肉类,,生鲜类,牛杂
517Y,海鲜水产项目,海鲜水产,,生鲜类,黄鳝
531Y,预制菜项目,粮油调味,,副食干货类,豆制品
531Y,预制菜项目,熟食类,,副食干货类,熟食肉类
532Y,滋补品项目,中药材,,医药保健,鹿血
532Y,海鲜水产项目,海鲜水产,,生鲜类,鲟鱼
536Y,预制菜项目,冻食类,,副食干货类,其它冷藏食品
536Y,蔬菜项目,生鲜蔬菜,,生鲜类,玉米
536Y,常温水果项目,生鲜水果,,生鲜类,西梅
536Y,茶叶项目,茶类,,副食干货类,茶叶
551Y,肉类熟食项目,生鲜肉类,,生鲜类,鸽子肉
571Y,花卉苗木项目,绿植园艺,,农业生产,种子种球
571Y,常温水果项目,生鲜水果,,生鲜类,西梅
574Y,预制菜项目,熟食类,,副食干货类,熟食蛋类
574Y,桃项目,生鲜水果,万元,生鲜类,黄桃/水蜜桃
574Y,茶叶项目,茶类,,副食干货类,藏茶/老茶
574Y,茶叶项目,茶类,,副食干货类,铁观音
577Y,肉类熟食项目,生鲜肉类,,生鲜类,驴肉
577Y,桔橙项目,生鲜水果,,生鲜类,桔子/橘子
579Y,茶叶项目,茶类,,副食干货类,黄茶
591Y,蔬菜项目,生鲜蔬菜,,生鲜类,丝瓜
592Y,蔬菜项目,生鲜蔬菜,,生鲜类,萝卜
595Y,粮油副食项目,粮油调味,万元,副食干货类,五谷杂粮
731Y,粮油副食项目,粮油调味,,副食干货类,面食
752Y,蔬菜项目,生鲜蔬菜,,生鲜类,笋
757Y,其他生鲜项目,生鲜食品,万元,生鲜类,其它生鲜食品
769Y,花卉苗木项目,绿植园艺,万元,农业生产,苗木
771Y,月饼项目,月饼类,,副食干货类,肉类月饼
871Y,蟹项目,蟹类,,生鲜类,面包蟹
898Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸡蛋
898Y,海鲜水产项目,海鲜水产,,生鲜类,海兔子
931Y,海鲜水产项目,海鲜水产,,生鲜类,刀鱼
991Y,蔬菜项目,生鲜蔬菜,,生鲜类,冰草
010Y,肉类熟食项目,干货,万元,副食干货类,肉类干货
022Y,花卉苗木项目,绿植园艺,万元,农业生产,苗木
022Y,常温水果项目,生鲜水果,,生鲜类,甘蔗
024Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲子莲蓬
024Y,蔬菜项目,生鲜蔬菜,,生鲜类,银耳
024Y,常温水果项目,生鲜水果,,生鲜类,牛油果
025Y,常温水果项目,生鲜水果,,生鲜类,人参果
027Y,花卉苗木项目,绿植园艺,,农业生产,永生花
028Y,月饼项目,月饼类,万元,副食干货类,冰皮月饼
029Y,滋补品项目,饮料冲调,万元,副食干货类,蜂蜜
316Y,常温水果项目,生鲜水果,,生鲜类,槟榔
351Y,预制菜项目,冻食类,,副食干货类,汤圆
451Y,常温水果项目,生鲜水果,,生鲜类,黄皮果
510Y,预制菜项目,熟食类,,副食干货类,凉皮
510Y,禽鱼项目,活体类,,生鲜类,活体
512Y,滋补品项目,中药材,,医药保健,灵芝
512Y,海鲜水产项目,海鲜水产,,生鲜类,海蛏
531Y,海鲜水产项目,海鲜水产,,生鲜类,螺类
532Y,常温水果项目,生鲜水果,,生鲜类,红毛丹
536Y,蔬菜项目,生鲜蔬菜,,生鲜类,菜苗
551Y,常温水果项目,生鲜水果,,生鲜类,柠檬
551Y,常温水果项目,生鲜水果,,生鲜类,青梅
551Y,茶叶项目,茶类,,副食干货类,绿茶
571Y,茶叶项目,茶类,,副食干货类,茶叶
577Y,蔬菜项目,生鲜蔬菜,,生鲜类,冰草
577Y,肉类熟食项目,生鲜肉类,,生鲜类,鸽子肉
577Y,牛羊肉项目,生鲜肉类,,生鲜类,牛排
577Y,海鲜水产项目,海鲜水产,,生鲜类,虾类
591Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸭蛋
592Y,杨梅项目,生鲜水果,万元,生鲜类,杨梅
592Y,茶叶项目,茶类,万元,副食干货类,白茶
731Y,预制菜项目,熟食类,,副食干货类,熟食蛋类
752Y,蔬菜项目,生鲜蔬菜,,生鲜类,黄瓜
752Y,李子项目,生鲜水果,万元,生鲜类,李子
752Y,海鲜水产项目,海鲜水产,,生鲜类,黄鳝
755Y,预制菜项目,熟食类,,副食干货类,熟食菜品
757Y,常温水果项目,生鲜水果,,生鲜类,青梅
757Y,常温水果项目,生鲜水果,,生鲜类,圣女果
757Y,茶叶项目,茶类,,副食干货类,普洱
760Y,蔬菜项目,生鲜蔬菜,,生鲜类,菌菇
769Y,蔬菜项目,生鲜蔬菜,,生鲜类,萝卜
769Y,常温水果项目,生鲜水果,,生鲜类,黑老虎
771Y,蔬菜项目,生鲜蔬菜,,生鲜类,折耳根
791Y,蔬菜项目,生鲜蔬菜,,生鲜类,葱姜蒜椒
898Y,常温水果项目,生鲜水果,,生鲜类,橄榄
931Y,牛羊肉项目,生鲜肉类,,生鲜类,牛排
931Y,禽鱼项目,活体类,万元,生鲜类,虫类
931Y,海鲜水产项目,海鲜水产,,生鲜类,海参
991Y,蔬菜项目,生鲜蔬菜,,生鲜类,茄子豆角
010Y,肉类熟食项目,生鲜肉类,,生鲜类,驴肉
021Y,蔬菜项目,生鲜蔬菜,,生鲜类,苁蓉
021Y,禽鱼项目,活体类,,生鲜类,活体
022Y,常温水果项目,生鲜水果,,生鲜类,莲雾/黑金刚莲雾
023Y,常温水果项目,生鲜水果,,生鲜类,释迦果
024Y,常温水果项目,生鲜水果,,生鲜类,西梅
025Y,常温水果项目,生鲜水果,,生鲜类,橄榄
027Y,牛羊肉项目,生鲜肉类,,生鲜类,牛杂
316Y,蔬菜项目,生鲜蔬菜,,生鲜类,鸡头米
351Y,预制菜项目,冻食类,万元,副食干货类,饺子
371Y,常温水果项目,生鲜水果,,生鲜类,释迦果
431Y,茶叶项目,茶类,,副食干货类,苦茶
451Y,蔬菜项目,休闲食品,万元,副食干货类,板栗
451Y,海鲜水产项目,生鲜肉类,,生鲜类,泥鳅
471Y,常温水果项目,生鲜水果,,生鲜类,菇娘果
471Y,茶叶项目,茶类,,副食干货类,罗汉果
510Y,常温水果项目,生鲜水果,,生鲜类,菠萝
513Y,海鲜水产项目,海鲜水产,,生鲜类,鲟鱼
532Y,蔬菜项目,生鲜蔬菜,,生鲜类,马蹄
551Y,蔬菜项目,生鲜蔬菜,,生鲜类,洋葱
571Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲子莲蓬
571Y,常温水果项目,生鲜水果,,生鲜类,覆盆莓
574Y,海鲜水产项目,海鲜水产,,生鲜类,藻类
574Y,常温水果项目,生鲜水果,,生鲜类,黑老虎
579Y,其他生鲜项目,生鲜食品,万元,生鲜类,其它生鲜食品
591Y,海鲜水产项目,海鲜水产,,生鲜类,螺类
731Y,蔬菜项目,生鲜蔬菜,,生鲜类,木耳
731Y,肉类熟食项目,生鲜肉类,,生鲜类,兔肉
731Y,常温水果项目,生鲜水果,,生鲜类,覆盆莓
731Y,茶叶项目,茶类,,副食干货类,花茶
731Y,茶叶项目,茶类,,副食干货类,龙井
755Y,苹果项目,生鲜水果,万元,生鲜类,苹果
755Y,海鲜水产项目,海鲜水产,,生鲜类,海肠
757Y,常温水果项目,生鲜水果,,生鲜类,龙宫果
760Y,花卉苗木项目,鲜花类,,生鲜类,鲜花
760Y,干货项目,休闲食品,,副食干货类,蜜饯果干
769Y,茶叶项目,茶类,,副食干货类,藏茶/老茶
771Y,芒果项目,生鲜水果,万元,生鲜类,芒果
791Y,海鲜水产项目,生鲜肉类,,生鲜类,泥鳅
851Y,蔬菜项目,生鲜蔬菜,,生鲜类,冬瓜
871Y,预制菜项目,粮油调味,,副食干货类,豆制品
871Y,海鲜水产项目,海鲜水产,,生鲜类,海胆
871Y,海鲜水产项目,海鲜水产,,生鲜类,皮皮虾
898Y,茶叶项目,茶类,,副食干货类,黄茶
991Y,月饼项目,月饼类,,副食干货类,肉类月饼
010Y,禽鱼项目,活体类,万元,生鲜类,虫类
010Y,海鲜水产项目,海鲜水产,,生鲜类,刀鱼
021Y,常温水果项目,生鲜水果,,生鲜类,鸡心果/鸡蛋果
022Y,海鲜水产项目,海鲜水产,,生鲜类,海蜇/海蜇头
024Y,预制菜项目,冻食类,,副食干货类,丸子
024Y,蔬菜项目,生鲜蔬菜,,生鲜类,菌菇
024Y,参茸项目,中药材,,医药保健,人参
025Y,茶叶项目,茶类,,副食干货类,陈皮
027Y,蔬菜项目,生鲜蔬菜,,生鲜类,笋
029Y,茶叶项目,茶类,,副食干货类,黑茶
311Y,蔬菜项目,生鲜蔬菜,,生鲜类,西红柿/番茄
311Y,肉类熟食项目,干货,万元,副食干货类,肉类干货
316Y,常温水果项目,生鲜水果,,生鲜类,西梅
351Y,牛羊肉项目,生鲜肉类,,生鲜类,牛肉
351Y,海鲜水产项目,海鲜水产,,生鲜类,鲍鱼
451Y,常温水果项目,生鲜水果,,生鲜类,蛋黄果
510Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸭蛋
512Y,蔬菜项目,生鲜蔬菜,,生鲜类,茄子豆角
513Y,蔬菜项目,生鲜蔬菜,,生鲜类,山药
513Y,常温水果项目,生鲜水果,,生鲜类,柿子
517Y,常温水果项目,生鲜水果,万元,生鲜类,百香果
531Y,预制菜项目,熟食类,,副食干货类,熟食菜品
531Y,蟹项目,蟹类,,生鲜类,帝王蟹
531Y,常温水果项目,生鲜水果,,生鲜类,山楂果
532Y,预制菜项目,冻食类,万元,副食干货类,饺子
532Y,常温水果项目,生鲜水果,,生鲜类,无花果
571Y,海鲜水产项目,海鲜水产,,生鲜类,藻类
571Y,茶叶项目,茶类,万元,副食干货类,白茶
574Y,蟹项目,蟹类,,生鲜类,梭子蟹
577Y,月饼项目,月饼类,万元,副食干货类,冰皮月饼
577Y,蔬菜项目,生鲜蔬菜,,生鲜类,薄荷
579Y,蔬菜项目,生鲜蔬菜,,生鲜类,芋头
595Y,蔬菜项目,生鲜蔬菜,,生鲜类,山药
731Y,禽鱼项目,活体类,,生鲜类,禽类
731Y,海鲜水产项目,干货,万元,副食干货类,海产干货
731Y,常温水果项目,生鲜水果,,生鲜类,黑老虎
752Y,茶叶项目,茶类,,副食干货类,陈皮
757Y,牛羊肉项目,生鲜肉类,,生鲜类,羊杂
769Y,蔬菜项目,生鲜蔬菜,,生鲜类,玉米
769Y,花卉苗木项目,绿植园艺,,农业生产,种子种球
771Y,牛羊肉项目,生鲜肉类,,生鲜类,牛排
771Y,禽鱼项目,活体类,万元,生鲜类,虫类
791Y,海鲜水产项目,海鲜水产,,生鲜类,虾类
991Y,肉类熟食项目,干货,万元,副食干货类,肉类干货
020Y,海鲜水产项目,海鲜水产,,生鲜类,海蛏
020Y,常温水果项目,生鲜水果,,生鲜类,榴莲
021Y,常温水果项目,生鲜水果,,生鲜类,蔓越莓
022Y,茶叶项目,茶类,,副食干货类,藏茶/老茶
023Y,海鲜水产项目,海鲜水产,,生鲜类,鱼杂
024Y,蔬菜项目,生鲜蔬菜,,生鲜类,玉米
025Y,肉类熟食项目,生鲜肉类,,生鲜类,蛙肉
025Y,常温水果项目,生鲜水果,,生鲜类,菇娘果
028Y,蔬菜项目,生鲜蔬菜,,生鲜类,番薯
028Y,海鲜水产项目,海鲜水产,,生鲜类,虾类
351Y,滋补品项目,中药材,,医药保健,鹿鞭
351Y,常温水果项目,生鲜水果,,生鲜类,槟榔
371Y,粽子项目,熟食类,万元,副食干货类,粽子
371Y,牛羊肉项目,生鲜肉类,,生鲜类,羊肉
371Y,梨项目,生鲜水果,万元,生鲜类,梨子
512Y,蔬菜项目,生鲜蔬菜,,生鲜类,香菇
532Y,海鲜水产项目,生鲜蔬菜,,生鲜类,海带
536Y,茶叶项目,茶类,万元,副食干货类,白茶
571Y,蔬菜项目,生鲜蔬菜,,生鲜类,苦瓜
574Y,蔬菜项目,生鲜蔬菜,,生鲜类,木耳
577Y,月饼项目,月饼类,,副食干货类,肉类月饼
591Y,蔬菜项目,生鲜蔬菜,,生鲜类,椿菜
591Y,常温水果项目,生鲜水果,,生鲜类,蔓越莓
595Y,月饼项目,月饼类,,副食干货类,普通月饼
731Y,蔬菜项目,生鲜蔬菜,,生鲜类,葱姜蒜椒
731Y,肉类熟食项目,生鲜肉类,,生鲜类,肠
731Y,牛羊肉项目,生鲜肉类,,生鲜类,羊排
755Y,常温水果项目,生鲜水果,,生鲜类,椰子
769Y,蔬菜项目,生鲜蔬菜,,生鲜类,菌菇
771Y,桔橙项目,生鲜水果,,生鲜类,桔子/橘子
791Y,蟹项目,蟹类,万元,生鲜类,大闸蟹
791Y,常温水果项目,生鲜水果,,生鲜类,蛋黄果
851Y,李子项目,生鲜水果,万元,生鲜类,李子
871Y,茶叶项目,茶类,,副食干货类,陈皮
898Y,滋补品项目,保健滋补,,医药保健,燕窝
898Y,常温水果项目,生鲜水果,,生鲜类,释迦果
020Y,常温水果项目,生鲜水果,,生鲜类,释迦果
022Y,桃项目,生鲜水果,万元,生鲜类,黄桃/水蜜桃
025Y,海鲜水产项目,海鲜水产,,生鲜类,海胆
027Y,蔬菜项目,生鲜蔬菜,,生鲜类,黄瓜
029Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸭蛋
029Y,茶叶项目,茶类,,副食干货类,红茶
311Y,预制菜项目,休闲食品,,副食干货类,自热食品
351Y,蔬菜项目,生鲜蔬菜,,生鲜类,银耳
371Y,滋补品项目,中药材,,医药保健,其它中药材
431Y,肉类熟食项目,生鲜肉类,,生鲜类,猪肉
431Y,瓜项目,生鲜水果,万元,生鲜类,哈密瓜
431Y,参茸项目,干货,万元,副食干货类,鹿产品
451Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲藕/藕带
471Y,海鲜水产项目,海鲜水产,,生鲜类,甲鱼
471Y,常温水果项目,生鲜水果,,生鲜类,椰子
510Y,茶叶项目,茶类,,副食干货类,黑茶
512Y,常温水果项目,生鲜水果,,生鲜类,青梅
513Y,蔬菜项目,生鲜蔬菜,,生鲜类,鸡头米
513Y,参茸项目,中药材,,医药保健,人参
517Y,肉类熟食项目,生鲜肉类,,生鲜类,蛙肉
571Y,蔬菜项目,生鲜蔬菜,,生鲜类,萝卜
574Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲子莲蓬
574Y,花卉苗木项目,绿植园艺,万元,农业生产,苗木
579Y,常温水果项目,生鲜水果,,生鲜类,木瓜
591Y,预制菜项目,熟食类,,副食干货类,凉皮
592Y,常温水果项目,生鲜水果,,生鲜类,莲雾/黑金刚莲雾
595Y,海鲜水产项目,海鲜水产,,生鲜类,鲟鱼
595Y,常温水果项目,生鲜水果,,生鲜类,柿子
752Y,花卉苗木项目,绿植园艺,,农业生产,永生花
752Y,常温水果项目,生鲜水果,万元,生鲜类,百香果
755Y,其他生鲜项目,生鲜食品,万元,生鲜类,其它生鲜食品
755Y,海鲜水产项目,海鲜水产,,生鲜类,海兔子
755Y,常温水果项目,生鲜水果,,生鲜类,橄榄
757Y,滋补品项目,保健滋补,,医药保健,燕窝
760Y,常温水果项目,生鲜水果,,生鲜类,槟榔
769Y,滋补品项目,中药材,,医药保健,枸杞
771Y,预制菜项目,熟食类,,副食干货类,卤味
851Y,蔬菜项目,生鲜蔬菜,,生鲜类,黄瓜
