area_code,PRO_NAME,LEVEL_2_TYPE,inc_unit,LEVEL_1_TYPE,LEVEL_3_TYPE
510Y,茶叶项目,茶类,万元,副食干货类,白茶
512Y,常温水果项目,生鲜水果,,生鲜类,其它水果
513Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸽子蛋/鹌鹑蛋
517Y,海鲜水产项目,干货,万元,副食干货类,海产干货
517Y,海鲜水产项目,海鲜水产,,生鲜类,鱼类
531Y,蔬菜项目,生鲜蔬菜,,生鲜类,丝瓜
532Y,蔬菜项目,生鲜蔬菜,,生鲜类,折耳根
532Y,茶叶项目,茶类,万元,副食干货类,白茶
536Y,海鲜水产项目,海鲜水产,,生鲜类,刀鱼
536Y,干货项目,饮料冲调,,副食干货类,咖啡/奶茶
571Y,蟹项目,蟹类,万元,生鲜类,大闸蟹
574Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸟蛋
579Y,桔橙项目,生鲜水果,,生鲜类,油甘
592Y,预制菜项目,粮油调味,,副食干货类,豆制品
595Y,粮油副食项目,粮油调味,,副食干货类,豆类
595Y,海鲜水产项目,海鲜水产,,生鲜类,海胆
595Y,常温水果项目,生鲜水果,,生鲜类,西梅
752Y,常温水果项目,生鲜水果,,生鲜类,牛油果
755Y,荔枝项目,生鲜水果,万元,生鲜类,荔枝
755Y,海鲜水产项目,海鲜水产,,生鲜类,海蛏
760Y,肉类熟食项目,生鲜肉类,,生鲜类,肠
760Y,海鲜水产项目,海鲜水产,,生鲜类,其它海鲜
769Y,海鲜水产项目,海鲜水产,,生鲜类,海蛏
771Y,蔬菜项目,生鲜蔬菜,,生鲜类,番薯
771Y,蔬菜项目,生鲜蔬菜,,生鲜类,茄子豆角
791Y,肉类熟食项目,生鲜肉类,,生鲜类,蛇肉
791Y,海鲜水产项目,干货,万元,副食干货类,海产干货
791Y,常温水果项目,生鲜水果,,生鲜类,桑葚
851Y,海鲜水产项目,海鲜水产,,生鲜类,鱼杂
871Y,粮油副食项目,粮油调味,,副食干货类,豆类
871Y,花卉苗木项目,绿植园艺,万元,农业生产,苗木
871Y,常温水果项目,生鲜水果,,生鲜类,释迦果
991Y,预制菜项目,熟食类,,副食干货类,凉拌菜
991Y,常温水果项目,生鲜水果,,生鲜类,黄皮果
010Y,肉类熟食项目,生鲜肉类,,生鲜类,兔肉
020Y,海鲜水产项目,海鲜水产,,生鲜类,其它海鲜
022Y,茶叶项目,茶类,,副食干货类,乌龙茶
023Y,粮油副食项目,粮油调味,,副食干货类,豆类
023Y,常温水果项目,生鲜水果,,生鲜类,无花果
025Y,海鲜水产项目,海鲜水产,,生鲜类,虾类
027Y,常温水果项目,生鲜水果,,生鲜类,香蕉
028Y,滋补品项目,中药材,,医药保健,枸杞
029Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸟蛋
029Y,常温水果项目,生鲜水果,,生鲜类,山楂果
311Y,蔬菜项目,生鲜蔬菜,,生鲜类,鸡头米
316Y,粮油副食项目,粮油调味,,副食干货类,豆类
351Y,蔬菜项目,生鲜蔬菜,,生鲜类,菌菇
351Y,肉类熟食项目,生鲜肉类,,生鲜类,鸭肉
431Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸭蛋
431Y,茶叶项目,茶类,,副食干货类,铁观音
451Y,预制菜项目,粮油调味,,副食干货类,豆制品
451Y,蔬菜项目,生鲜蔬菜,,生鲜类,菜苗
451Y,常温水果项目,生鲜水果,,生鲜类,橄榄
451Y,茶叶项目,茶类,,副食干货类,绿茶
510Y,牛羊肉项目,生鲜肉类,,生鲜类,牛排
510Y,花卉苗木项目,绿植园艺,,农业生产,种子种球
510Y,海鲜水产项目,海鲜水产,,生鲜类,螺类
512Y,花卉苗木项目,绿植园艺,,农业生产,永生花
513Y,蔬菜项目,生鲜蔬菜,,生鲜类,西红柿/番茄
517Y,其他生鲜项目,生鲜食品,万元,生鲜类,其它生鲜食品
517Y,海鲜水产项目,海鲜水产,,生鲜类,藻类
517Y,茶叶项目,茶类,,副食干货类,花茶
517Y,茶叶项目,茶类,,副食干货类,乌龙茶
531Y,肉类熟食项目,生鲜肉类,,生鲜类,蛇肉
531Y,常温水果项目,生鲜水果,,生鲜类,桑葚
532Y,蔬菜项目,休闲食品,万元,副食干货类,板栗
551Y,海鲜水产项目,海鲜水产,,生鲜类,其它海鲜
571Y,常温水果项目,生鲜水果,,生鲜类,菠萝蜜
574Y,海鲜水产项目,海鲜水产,,生鲜类,黄鳝
577Y,蔬菜项目,生鲜蔬菜,,生鲜类,银耳
577Y,肉类熟食项目,生鲜肉类,,生鲜类,狗肉
592Y,蟹项目,蟹类,,生鲜类,梭子蟹
592Y,蔬菜项目,生鲜蔬菜,,生鲜类,南瓜
592Y,牛羊肉项目,生鲜肉类,,生鲜类,牛肉
592Y,常温水果项目,生鲜水果,,生鲜类,龙宫果
752Y,预制菜项目,熟食类,,副食干货类,熟食海鲜
755Y,禽鱼项目,活体类,,生鲜类,禽类
755Y,茶叶项目,茶类,,副食干货类,青茶
757Y,海鲜水产项目,海鲜水产,,生鲜类,刀鱼
771Y,花卉苗木项目,鲜花类,,生鲜类,鲜花
791Y,桃项目,生鲜水果,万元,生鲜类,黄桃/水蜜桃
871Y,芒果项目,生鲜水果,万元,生鲜类,芒果
871Y,常温水果项目,生鲜水果,,生鲜类,西梅
898Y,常温水果项目,生鲜水果,万元,生鲜类,百香果
931Y,月饼项目,月饼类,万元,副食干货类,冰皮月饼
991Y,干货项目,饮料冲调,,副食干货类,咖啡/奶茶
991Y,茶叶项目,茶类,,副食干货类,红茶
020Y,常温水果项目,生鲜水果,,生鲜类,菠萝
020Y,常温水果项目,生鲜水果,,生鲜类,木瓜
021Y,常温水果项目,生鲜水果,,生鲜类,黑老虎
021Y,常温水果项目,生鲜水果,,生鲜类,圣女果
022Y,滋补品项目,中药材,,医药保健,枸杞
023Y,蔬菜项目,生鲜蔬菜,,生鲜类,木耳
025Y,蔬菜项目,生鲜蔬菜,,生鲜类,冰草
027Y,海鲜水产项目,海鲜水产,,生鲜类,海胆
028Y,桔橙项目,生鲜水果,,生鲜类,油甘
028Y,虫草项目,生鲜水果,万元,生鲜类,鲜虫草
311Y,肉类熟食项目,生鲜肉类,,生鲜类,狗肉
311Y,海鲜水产项目,海鲜水产,,生鲜类,甲鱼
311Y,常温水果项目,生鲜水果,,生鲜类,柿子
371Y,蔬菜项目,生鲜蔬菜,,生鲜类,椿菜
451Y,蔬菜项目,生鲜蔬菜,,生鲜类,椿菜
471Y,茶叶项目,茶类,,副食干货类,红茶
510Y,蔬菜项目,生鲜蔬菜,,生鲜类,冬瓜
510Y,葡萄项目,生鲜水果,万元,生鲜类,红提/葡萄
510Y,常温水果项目,生鲜水果,,生鲜类,青梅
510Y,茶叶项目,茶类,,副食干货类,陈皮
512Y,常温水果项目,生鲜水果,,生鲜类,鲜核桃
513Y,预制菜项目,熟食类,,副食干货类,卤味
513Y,蟹项目,蟹类,,生鲜类,面包蟹
513Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸭蛋
513Y,常温水果项目,生鲜水果,,生鲜类,牛油果
513Y,茶叶项目,茶类,,副食干货类,铁观音
517Y,滋补品项目,中药材,,医药保健,灵芝
531Y,海鲜水产项目,海鲜水产,,生鲜类,海蜇/海蜇头
531Y,茶叶项目,茶类,,副食干货类,乌龙茶
532Y,蔬菜项目,生鲜蔬菜,,生鲜类,冬瓜
536Y,樱桃项目,生鲜水果,万元,生鲜类,樱桃
536Y,瓜项目,生鲜水果,,生鲜类,西瓜
571Y,肉类熟食项目,生鲜肉类,,生鲜类,蝉蛹
571Y,禽鱼项目,活体类,万元,生鲜类,虫类
571Y,常温水果项目,生鲜水果,,生鲜类,黑老虎
574Y,牛羊肉项目,干货,万元,副食干货类,牛肉干
574Y,常温水果项目,生鲜水果,,生鲜类,柿子
577Y,预制菜项目,冻食类,,副食干货类,丸子
577Y,预制菜项目,粮油调味,,副食干货类,豆制品
577Y,海鲜水产项目,海鲜水产,,生鲜类,海肠
591Y,牛羊肉项目,生鲜肉类,,生鲜类,牛杂
592Y,月饼项目,月饼类,,副食干货类,流心奶黄月饼
595Y,常温水果项目,生鲜水果,,生鲜类,香蕉
755Y,枣项目,生鲜水果,,生鲜类,冬枣/鲜枣
757Y,预制菜项目,冻食类,,副食干货类,其它冷藏食品
757Y,樱桃项目,生鲜水果,万元,生鲜类,樱桃
757Y,蔬菜项目,生鲜蔬菜,,生鲜类,薄荷
760Y,蔬菜项目,生鲜蔬菜,,生鲜类,冰草
769Y,荔枝项目,生鲜水果,万元,生鲜类,荔枝
791Y,茶叶项目,茶类,,副食干货类,青茶
851Y,预制菜项目,熟食类,,副食干货类,卤味
871Y,肉类熟食项目,生鲜肉类,,生鲜类,鹅肉
871Y,常温水果项目,生鲜水果,,生鲜类,香蕉
898Y,预制菜项目,冻食类,,副食干货类,其它冷藏食品
898Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲藕/藕带
898Y,禽鱼项目,活体类,万元,生鲜类,虫类
931Y,常温水果项目,生鲜水果,,生鲜类,山楂果
022Y,海鲜水产项目,海鲜水产,,生鲜类,鱼类
023Y,海鲜水产项目,海鲜水产,,生鲜类,海胆
024Y,蔬菜项目,生鲜蔬菜,,生鲜类,其它新鲜蔬菜
