3、流向静态底表，old_city_code数据量统计（截止20230612）,,,
cityflow,inc_day,sum(all_waybill_num),sum(all_quantity)
910-510,20191214,2,2
910-594,20191213,1,1
910-010,20191213,1,1
910-574,20191213,1,1
910-027,20191213,2,2
910-757,20191213,1,1
910-711,20191213,1,1
910-510,20191213,2,2
910-532,20191213,1,1
910-512,20191213,17,17
910-769,20191213,7,7
910-595,20191213,14,14
910-021,20191213,13,13
910-029,20191213,4,5
910-515,20191213,1,1
910-595,20191212,2,2
910-027,20191212,1,1
910-021,20191212,3,3
910-594,20191212,4,4
910-022,20191212,1,1
910-029,20191212,1,1
910-010,20191212,1,1
910-769,20191212,2,2
910-757,20191212,1,1
910-512,20191212,8,8
910-513,20191212,1,2
910-757,20191211,3,3
910-020,20191211,1,1
910-595,20191211,2,2
910-594,20191211,1,1
910-512,20191211,2,2
910-021,20191211,1,1
910-029,20191211,1,1
910-769,20191211,1,1
910-020,20191210,1,1
910-757,20191210,1,1
910-595,20191210,1,1
910-513,20191210,2,4
910-594,20191210,1,1
910-021,20191210,1,1
910-932,20191210,1,1
910-021,20191209,2,2
910-029,20191209,4,4
910-513,20191209,1,2
910-512,20191209,1,1
910-594,20191209,2,2
910-757,20191209,2,2
910-769,20191209,1,1
910-757,20191208,2,2
910-7311,20191208,1,1
910-515,20191208,1,2
910-769,20191208,1,1
910-021,20191208,3,3
910-010,20191208,1,1
910-595,20191208,4,4
910-595,20191207,3,3
910-510,20191207,2,2
910-512,20191207,1,1
910-933,20191207,1,1
910-7311,20191207,1,1
910-029,20191207,1,1
910-029,20191206,2,2
910-755,20191206,1,1
910-510,20191206,1,1
910-594,20191206,4,4
910-021,20191206,3,3
910-913,20191206,1,1
910-757,20191206,1,1
910-595,20191206,1,1
910-027,20191205,1,1
910-010,20191205,1,1
910-769,20191205,3,3
910-512,20191205,1,1
910-021,20191205,6,6
910-757,20191205,3,3
910-595,20191205,5,5
910-595,20191204,4,4
910-029,20191204,1,1
910-021,20191204,3,3
910-512,20191204,3,3
910-755,20191204,1,1
910-769,20191203,1,1
910-917,20191203,1,1
910-020,20191203,1,1
910-512,20191203,1,1
910-029,20191203,2,2
910-021,20191203,2,2
910-020,20191202,1,1
910-029,20191202,2,2
910-916,20191202,1,1
910-594,20191202,2,2
910-021,20191202,2,2
910-010,20191202,1,1
910-595,20191202,2,2
910-7311,20191202,1,1
910-916,20191201,1,1
910-594,20191201,1,1
910-755,20191201,1,1
910-512,20191201,1,1
910-021,20191201,4,4
910-023,20191130,1,1
910-512,20191130,1,1
910-029,20191130,2,2
910-594,20191130,1,1
910-769,20191130,1,1
910-021,20191129,3,3
910-595,20191129,4,4
910-021,20191128,1,1
910-595,20191128,2,2
910-755,20191128,1,1
910-029,20191128,4,5
910-594,20191128,1,1
910-769,20191128,1,1
910-8981,20191128,1,1
910-023,20191128,1,1
910-711,20191128,1,1
910-010,20191127,1,1
910-512,20191127,5,5
910-755,20191127,2,2
910-771,20191127,1,1
910-594,20191127,1,1
910-021,20191127,1,1
910-029,20191127,2,2
910-510,20191126,2,2
910-020,20191126,1,1
910-755,20191126,1,1
910-029,20191126,3,3
910-913,20191126,1,1
910-955,20191126,1,1
910-021,20191126,4,4
910-512,20191126,2,2
910-711,20191126,1,1
910-574,20191125,1,1
910-769,20191125,1,1
910-021,20191125,4,4
910-595,20191125,3,3
910-594,20191125,2,2
910-594,20191124,4,4
910-021,20191124,2,2
910-020,20191124,1,1
910-512,20191123,1,1
910-025,20191123,1,1
910-595,20191123,1,1
910-769,20191123,2,2
910-029,20191123,1,1
910-711,20191122,1,1
910-021,20191122,1,1
910-595,20191122,2,2
910-512,20191122,1,1
910-712,20191121,1,1
910-021,20191121,2,2
910-595,20191121,3,3
910-512,20191121,4,4
910-594,20191121,2,2
910-711,20191120,1,1
910-512,20191120,2,2
910-769,20191120,1,1
910-021,20191120,5,5
910-752,20191120,1,1
910-515,20191120,1,1
910-595,20191119,2,2
910-027,20191119,1,1
910-512,20191119,5,5
910-029,20191119,3,3
910-971,20191119,1,1
910-025,20191119,1,1
910-021,20191119,3,3
910-594,20191119,3,3
910-512,20191118,6,6
910-911,20191118,1,1
